row,target_class,id_hash,before_class,before_group_no,after_class,after_group_no,target_group_no,target_available,status,message
3,PH_TT_01,4ed4a67661,PH_TT_01,202606_S2_2_10_1900_35_01,PH_TT_01,202606_S2_2_10_1900_35_01,,True,ALREADY_OK,
4,PH_TT_01,c407577743,PH_TT_01,202606_S2_2_10_1900_35_01,PH_TT_01,202606_S2_2_10_1900_35_01,,True,ALREADY_OK,
5,PH_TT_01,22bcfe2029,PH_TT_01,202606_S2_2_10_1900_35_01,PH_TT_01,202606_S2_2_10_1900_35_01,,True,ALREADY_OK,
6,PH_TT_01,ec4460388f,PH_TT_01,202606_S2_2_10_1900_35_01,PH_TT_01,202606_S2_2_10_1900_35_01,,True,ALREADY_OK,
7,PH_TT_01,383ca9bbee,PH_TT_01,202606_S2_2_10_1900_35_01,PH_TT_01,202606_S2_2_10_1900_35_01,,True,ALREADY_OK,
8,PH_TT_01,b91b051951,PH_TT_01,202606_S2_2_10_1900_35_01,PH_TT_01,202606_S2_2_10_1900_35_01,,True,ALREADY_OK,
9,PH_TT_01,faaef1abca,PH_TT_01,202606_S2_2_10_1900_35_01,PH_TT_01,202606_S2_2_10_1900_35_01,,True,ALREADY_OK,
10,PH_TT_01,516ebfffc4,PH_TT_01,202606_S2_2_10_1900_35_01,PH_TT_01,202606_S2_2_10_1900_35_01,,True,ALREADY_OK,
11,PH_TT_02,8c775ea2e4,PH_TT_02,202606_S2_2_10_1900_35_02,PH_TT_02,202606_S2_2_10_1900_35_02,,True,ALREADY_OK,
12,PH_TT_02,99a4c16ca9,PH_TT_02,202606_S2_2_10_1900_35_02,PH_TT_02,202606_S2_2_10_1900_35_02,,True,ALREADY_OK,
13,PH_TT_02,9a5e48f9bf,PH_TT_02,202606_S2_2_10_1900_35_02,PH_TT_02,202606_S2_2_10_1900_35_02,,True,ALREADY_OK,
14,PH_TT_02,1bf45eb2de,PH_TT_02,202606_S2_2_10_1900_35_02,PH_TT_02,202606_S2_2_10_1900_35_02,,True,ALREADY_OK,
15,PH_TT_02,9ab8e2fd7f,PH_TT_02,202606_S2_2_10_1900_35_02,PH_TT_02,202606_S2_2_10_1900_35_02,,True,ALREADY_OK,
16,PH_TT_02,bc2fa91324,PH_TT_02,202606_S2_2_10_1900_35_02,PH_TT_02,202606_S2_2_10_1900_35_02,,True,ALREADY_OK,
17,PH_TT_02,4e3a2fac4d,PH_TT_02,202606_S2_2_10_1900_35_02,PH_TT_02,202606_S2_2_10_1900_35_02,,True,ALREADY_OK,
18,PH_TT_03,ba5aebeac2,PH_TT_03,202606_S2_2_10_1900_35_03,PH_TT_03,202606_S2_2_10_1900_35_03,,True,ALREADY_OK,
19,PH_TT_03,7be7c20b80,PH_TT_03,202606_S2_2_10_1900_35_03,PH_TT_03,202606_S2_2_10_1900_35_03,,True,ALREADY_OK,
20,PH_TT_03,5066c66660,PH_TT_03,202606_S2_2_10_1900_35_03,PH_TT_03,202606_S2_2_10_1900_35_03,,True,ALREADY_OK,
21,PH_TT_03,c59b25c17b,PH_TT_03,202606_S2_2_10_1900_35_03,PH_TT_03,202606_S2_2_10_1900_35_03,,True,ALREADY_OK,
22,PH_TT_03,6ff363bd55,PH_TT_03,202606_S2_2_10_1900_35_03,PH_TT_03,202606_S2_2_10_1900_35_03,,True,ALREADY_OK,
23,PH_TT_03,5aeebab117,PH_TT_03,202606_S2_2_10_1900_35_03,PH_TT_03,202606_S2_2_10_1900_35_03,,True,ALREADY_OK,
