phase,row,teacher_id,status,message
apply,2,PH_MW_01,OK,saved
apply,3,PH_MW_02,OK,saved
apply,4,PH_MW_03,OK,saved
apply,5,PH_MW_04,OK,saved
apply,6,PH_MW_05,OK,saved
apply,7,PH_MW_06,OK,saved
apply,8,PH_MW_07,OK,saved
apply,9,PH_MW_08,OK,saved
apply,10,PH_MW_09,OK,saved
apply,11,PH_MW_10,OK,saved
apply,12,PH_MW_11,OK,saved
apply,13,PH_MW_12,OK,saved
apply,14,PH_MW_13,OK,saved
apply,15,PH_MW_14,OK,saved
apply,16,PH_MW_15,OK,saved
apply,17,PH_TT_01,OK,saved
apply,18,PH_TT_02,OK,saved
apply,19,PH_TT_03,OK,saved
apply,20,PH_TT_04,OK,saved
apply,21,PH_TT_05,OK,saved
apply,22,PH_TT_06,OK,saved
apply,23,PH_TT_07,OK,saved
apply,24,PH_TT_08,OK,saved
apply,25,PH_TT_09,OK,saved
apply,26,PH_TT_10,OK,saved
apply,27,PH_TT_11,OK,saved
apply,28,PH_TT_12,OK,saved
apply,29,PH_TT_13,OK,saved
apply,30,PH_TT_14,OK,saved
apply,31,PH_TT_15,OK,saved
apply,32,PH_TT_16,OK,saved
verify,2,PH_MW_01,OK,matched
verify,3,PH_MW_02,OK,matched
verify,4,PH_MW_03,OK,matched
verify,5,PH_MW_04,OK,matched
verify,6,PH_MW_05,OK,matched
verify,7,PH_MW_06,OK,matched
verify,8,PH_MW_07,OK,matched
verify,9,PH_MW_08,OK,matched
verify,10,PH_MW_09,OK,matched
verify,11,PH_MW_10,OK,matched
verify,12,PH_MW_11,OK,matched
verify,13,PH_MW_12,OK,matched
verify,14,PH_MW_13,OK,matched
verify,15,PH_MW_14,OK,matched
verify,16,PH_MW_15,OK,matched
verify,17,PH_TT_01,OK,matched
verify,18,PH_TT_02,OK,matched
verify,19,PH_TT_03,OK,matched
verify,20,PH_TT_04,OK,matched
verify,21,PH_TT_05,OK,matched
verify,22,PH_TT_06,OK,matched
verify,23,PH_TT_07,OK,matched
verify,24,PH_TT_08,OK,matched
verify,25,PH_TT_09,OK,matched
verify,26,PH_TT_10,OK,matched
verify,27,PH_TT_11,OK,matched
verify,28,PH_TT_12,OK,matched
verify,29,PH_TT_13,OK,matched
verify,30,PH_TT_14,OK,matched
verify,31,PH_TT_15,OK,matched
verify,32,PH_TT_16,OK,matched
